Indicator Code: CG1530,,,,,,,,,,,
Indicator Name: Fires,,,,,,,,,,,
Export date: 1/9/2024 12:40:05 PM,,,,,,,,,,,
"Source location: ""WHO Mortality Database portal""",,,,,,,,,,,
Indicator metadata: X00-X09,,,,,,,,,,,
,,,,,,,,,,,
Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
CSA,Central and South America,ARG,Argentina,2015,All,Age00,[0],0,0,,0
CSA,Central and South America,ARG,Argentina,2015,All,Age01_04,[1-4],25,2.02101859,,0.84522109
CSA,Central and South America,ARG,Argentina,2015,All,Age05_09,[5-9],13,1.93740686,,0.36105705
CSA,Central and South America,ARG,Argentina,2015,All,Age10_14,[10-14],6,0.73081608,,0.16926832
CSA,Central and South America,ARG,Argentina,2015,All,Age15_19,[15-19],6,0.2265861,,0.17198704
CSA,Central and South America,ARG,Argentina,2015,All,Age20_24,[20-24],17,0.49005477,,0.48102552
CSA,Central and South America,ARG,Argentina,2015,All,Age25_29,[25-29],11,0.34832172,,0.32995529
CSA,Central and South America,ARG,Argentina,2015,All,Age30_34,[30-34],17,0.47552448,,0.54137179
CSA,Central and South America,ARG,Argentina,2015,All,Age35_39,[35-39],12,0.27291335,,0.38531377
CSA,Central and South America,ARG,Argentina,2015,All,Age40_44,[40-44],11,0.20254097,,0.41192315
CSA,Central and South America,ARG,Argentina,2015,All,Age45_49,[45-49],9,0.12062726,,0.38324112
CSA,Central and South America,ARG,Argentina,2015,All,Age50_54,[50-54],10,0.09057151,,0.4555323
CSA,Central and South America,ARG,Argentina,2015,All,Age55_59,[55-59],17,0.10274387,,0.85599453
CSA,Central and South America,ARG,Argentina,2015,All,Age60_64,[60-64],21,0.08997815,,1.17775853
CSA,Central and South America,ARG,Argentina,2015,All,Age65_69,[65-69],16,0.05376886,,1.0596216
CSA,Central and South America,ARG,Argentina,2015,All,Age70_74,[70-74],14,0.04058912,,1.2067842
CSA,Central and South America,ARG,Argentina,2015,All,Age75_79,[75-79],21,0.05312555,,2.44862265
CSA,Central and South America,ARG,Argentina,2015,All,Age80_84,[80-84],15,0.03244787,,2.50215185
CSA,Central and South America,ARG,Argentina,2015,All,Age85_over,[85+],19,0.02164453,,3.84388175
CSA,Central and South America,ARG,Argentina,2015,All,Age_unknown,[Unknown],8,0.47421458,,
CSA,Central and South America,ARG,Argentina,2015,Male,Age00,[0],0,0,,0
CSA,Central and South America,ARG,Argentina,2015,Male,Age01_04,[1-4],14,2.05882353,,0.92942788
CSA,Central and South America,ARG,Argentina,2015,Male,Age05_09,[5-9],6,1.57068063,,0.32731421
CSA,Central and South America,ARG,Argentina,2015,Male,Age10_14,[10-14],4,0.79207921,,0.2217467
CSA,Central and South America,ARG,Argentina,2015,Male,Age15_19,[15-19],3,0.155521,,0.16921734
CSA,Central and South America,ARG,Argentina,2015,Male,Age20_24,[20-24],14,0.53866872,,0.78331231
CSA,Central and South America,ARG,Argentina,2015,Male,Age25_29,[25-29],10,0.44782803,,0.59872782
CSA,Central and South America,ARG,Argentina,2015,Male,Age30_34,[30-34],12,0.49301561,,0.76799214
CSA,Central and South America,ARG,Argentina,2015,Male,Age35_39,[35-39],8,0.28933092,,0.52162188
CSA,Central and South America,ARG,Argentina,2015,Male,Age40_44,[40-44],7,0.21296015,,0.53937474
CSA,Central and South America,ARG,Argentina,2015,Male,Age45_49,[45-49],6,0.13204225,,0.53022644
CSA,Central and South America,ARG,Argentina,2015,Male,Age50_54,[50-54],7,0.10169984,,0.66755865
CSA,Central and South America,ARG,Argentina,2015,Male,Age55_59,[55-59],14,0.13469309,,1.48554196
CSA,Central and South America,ARG,Argentina,2015,Male,Age60_64,[60-64],14,0.09539384,,1.67892079
CSA,Central and South America,ARG,Argentina,2015,Male,Age65_69,[65-69],9,0.04884137,,1.31203177
CSA,Central and South America,ARG,Argentina,2015,Male,Age70_74,[70-74],12,0.05867971,,2.40755491
CSA,Central and South America,ARG,Argentina,2015,Male,Age75_79,[75-79],17,0.07883875,,4.98098436
CSA,Central and South America,ARG,Argentina,2015,Male,Age80_84,[80-84],11,0.05050273,,5.1323445
CSA,Central and South America,ARG,Argentina,2015,Male,Age85_over,[85+],6,0.02020814,,4.30064366
CSA,Central and South America,ARG,Argentina,2015,Male,Age_unknown,[Unknown],7,0.70140281,,
CSA,Central and South America,ARG,Argentina,2015,Female,Age00,[0],0,0,,0
CSA,Central and South America,ARG,Argentina,2015,Female,Age01_04,[1-4],11,1.98198198,,0.75783515
CSA,Central and South America,ARG,Argentina,2015,Female,Age05_09,[5-9],7,2.43055556,,0.39605305
CSA,Central and South America,ARG,Argentina,2015,Female,Age10_14,[10-14],2,0.63694268,,0.11488924
CSA,Central and South America,ARG,Argentina,2015,Female,Age15_19,[15-19],3,0.41841004,,0.17484892
CSA,Central and South America,ARG,Argentina,2015,Female,Age20_24,[20-24],3,0.34562212,,0.17173917
CSA,Central and South America,ARG,Argentina,2015,Female,Age25_29,[25-29],1,0.10834236,,0.06011143
CSA,Central and South America,ARG,Argentina,2015,Female,Age30_34,[30-34],5,0.43821209,,0.31692607
CSA,Central and South America,ARG,Argentina,2015,Female,Age35_39,[35-39],4,0.24524831,,0.25305789
CSA,Central and South America,ARG,Argentina,2015,Female,Age40_44,[40-44],3,0.13999067,,0.21856299
CSA,Central and South America,ARG,Argentina,2015,Female,Age45_49,[45-49],3,0.10291595,,0.24654873
CSA,Central and South America,ARG,Argentina,2015,Female,Age50_54,[50-54],3,0.07223694,,0.26163468
CSA,Central and South America,ARG,Argentina,2015,Female,Age55_59,[55-59],3,0.04879636,,0.28747252
CSA,Central and South America,ARG,Argentina,2015,Female,Age60_64,[60-64],7,0.08082208,,0.73748022
CSA,Central and South America,ARG,Argentina,2015,Female,Age65_69,[65-69],7,0.06181561,,0.8494991
CSA,Central and South America,ARG,Argentina,2015,Female,Age70_74,[70-74],2,0.01425314,,0.30226183
CSA,Central and South America,ARG,Argentina,2015,Female,Age75_79,[75-79],4,0.0222742,,0.77470435
CSA,Central and South America,ARG,Argentina,2015,Female,Age80_84,[80-84],4,0.01636996,,1.03853753
CSA,Central and South America,ARG,Argentina,2015,Female,Age85_over,[85+],13,0.02238677,,3.66427361
CSA,Central and South America,ARG,Argentina,2015,Female,Age_unknown,[Unknown],1,0.16528926,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age00,[0],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age01_04,[1-4],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age05_09,[5-9],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age10_14,[10-14],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age15_19,[15-19],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age20_24,[20-24],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age25_29,[25-29],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age30_34,[30-34],0,,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age35_39,[35-39],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age40_44,[40-44],1,100,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age45_49,[45-49],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age50_54,[50-54],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age55_59,[55-59],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age60_64,[60-64],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age65_69,[65-69],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age70_74,[70-74],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age75_79,[75-79],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age80_84,[80-84],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age85_over,[85+],0,0,,
CSA,Central and South America,ARG,Argentina,2015,Unknown,Age_unknown,[Unknown],0,0,,
